",""nest_id"",""nestbox"",""plot"",""tree_species_composition"",""fragment_area"",""edge_density"",""breeding_season"",""species"",""id_male"",""id_female"",""laying_date"",""clutch_size"",""collected_Egg"",""hatchling_number"",""Fledgling_number"",""frass"""
"1,""2016_44_1"",""44_1"",44,""FsylQrob"",46.6448,1378.848035,2016,""Cyanistescaeruleus"",""8879112"",""8879113"",2016-04-12,11,0,11,11,0.143151147"
"2,""2016_32_2"",""32_2"",32,""QrobQrub"",35.4919,2006.642238,2016,""Cyanistescaeruleus"",""8879144"",NA,NA,11,0,11,11,NA"
"3,""2016_37_2"",""37_2"",37,""Qrub"",58.3536,1834.147379,2016,""Cyanistescaeruleus"",""8879169"",""8879168"",2016-04-10,13,0,12,12,0.44509754"
"4,""2016_36_4"",""36_4"",36,""Qrub"",58.3536,1206.265666,2016,""Cyanistescaeruleus"",""8879170"",""8879171"",2016-04-13,9,0,9,9,0.118962024"
"5,""2016_38_1"",""38_1"",38,""threespec"",46.6448,1588.065265,2016,""Cyanistescaeruleus"",""8879174"",""8879173"",2016-04-15,9,0,8,8,0.396583968"
"6,""2015_8_2"",""8_2"",8,""FsylQrub"",90.3595,1250.118395,2015,""Cyanistescaeruleus"",""11024452"",""11024451"",2015-04-21,10,1,9,9,NA"
"7,""2016_24_4"",""24_4"",24,""threespec"",44.1402,1106.881143,2016,""Cyanistescaeruleus"",""12126126"",""12126125"",2016-04-10,12,0,10,10,0.062506151"
"8,""2016_21_3"",""21_3"",21,""Fsyl"",6.1912,1777.232464,2016,""Cyanistescaeruleus"",""12126139"",""12126138"",2016-04-14,9,0,9,0,0.02553256"
"9,""2016_22_3"",""22_3"",22,""Fsyl"",44.1402,2336.669661,2016,""Cyanistescaeruleus"",""12126140"",""12126269"",2016-04-07,11,0,9,9,0.024733413"
"10,""2015_17_1"",""17_1"",17,""FsylQrob"",90.3595,1895.97334,2015,""Cyanistescaeruleus"",""12126204"",""12126205"",2015-04-09,14,1,13,13,NA"
"11,""2015_17_3"",""17_3"",17,""FsylQrob"",90.3595,1895.97334,2015,""Cyanistescaeruleus"",""12126232"",""12126231"",2015-04-17,12,1,10,9,NA"
"12,""2015_30_4"",""30_4"",30,""FsylQrob"",9.6915,1963.189302,2015,""Cyanistescaeruleus"",""12126236"",""12126237"",2015-04-15,12,1,11,11,NA"
"13,""2015_22_3"",""22_3"",22,""Fsyl"",44.1402,2336.669661,2015,""Cyanistescaeruleus"",""12126270"",""12126269"",2015-04-16,11,1,9,8,NA"
"14,""2015_3_4"",""3_4"",3,""Fsyl"",43.7401,1202.986145,2015,""Cyanistescaeruleus"",""12126272"",""12126273"",2015-04-23,10,1,7,4,NA"
"15,""2016_3_3"",""3_3"",3,""Fsyl"",43.7401,1202.986145,2016,""Cyanistescaeruleus"",""12126272"",NA,2016-04-11,9,0,7,7,0.01686571"
"16,""2015_2_1"",""2_1"",2,""Fsyl"",43.7401,1811.174044,2015,""Cyanistescaeruleus"",""12126274"",""12126275"",2015-04-19,11,1,10,9,NA"
"17,""2015_16_2"",""16_2"",16,""Qrub"",90.3595,783.4203332,2015,""Cyanistescaeruleus"",""12126276"",""12126277"",2015-04-21,9,1,7,7,NA"
"18,""2016_16_1"",""16_1"",16,""Qrub"",90.3595,783.4203332,2016,""Cyanistescaeruleus"",""12126276"",""14157379"",2016-04-12,11,0,11,11,0.092564624"
"19,""2015_28_2"",""28_2"",28,""FsylQrob"",10.7426,1861.982544,2015,""Cyanistescaeruleus"",""12126279"",""12126278"",2015-04-15,12,1,9,7,NA"
"20,""2016_11_4"",""11_4"",11,""threespec"",90.3595,850.7066029,2016,""Cyanistescaeruleus"",""12126281"",""11024459"",2016-04-06,10,0,10,10,0.106709325"
"21,""2015_13_2"",""13_2"",13,""FsylQrob"",90.3595,734.2083225,2015,""Cyanistescaeruleus"",""12126281"",""12126280"",2015-04-19,11,1,10,10,NA"
"22,""2015_53_1"",""53_1"",53,""QrobQrub"",53.3881,655.90871,2015,""Cyanistescaeruleus"",""12126282"",""12126271"",2015-04-12,13,1,11,11,NA"
"23,""2016_19_3"",""19_3"",19,""Qrob"",90.3595,1309.083906,2016,""Cyanistescaeruleus"",""12126331"",""14157731"",2016-04-16,11,0,11,10,0.406945913"
"24,""2015_41_2"",""41_2"",41,""Qrub"",46.6448,1874.24286,2015,""Cyanistescaeruleus"",""12126345"",""12126344"",2015-04-09,10,1,9,7,NA"
